Exit Velocity,Launch Angle,Hits,BBE,"Average
Distance (ft)",AVG,wOBA,1B,2B,3B,HR,1B %,2B %,3B %,HR %
122,12,1,1,256,1,1.25,0,1,0,0,0,100,0,0
120,20,1,1,447,1,2,0,0,0,1,0,0,0,100
120,14,1,1,286,1,1.25,0,1,0,0,0,100,0,0
120,7,1,1,152,1,0.9,1,0,0,0,100,0,0,0
119,25,1,1,450,1,2,0,0,0,1,0,0,0,100
119,15,1,1,421,1,2,0,0,0,1,0,0,0,100
119,14,1,1,274,1,1.25,0,1,0,0,0,100,0,0
119,6,1,1,153,1,0.9,1,0,0,0,100,0,0,0
118,13,1,1,369,1,1.25,0,1,0,0,0,100,0,0
117,23,1,1,395,1,2,0,0,0,1,0,0,0,100
117,7,1,1,175,1,0.9,1,0,0,0,100,0,0,0
117,6,1,2,173,0.5,0.45,1,0,0,0,50,0,0,0
116,29,1,1,473,1,2,0,0,0,1,0,0,0,100
116,24,1,1,417,1,2,0,0,0,1,0,0,0,100
116,20,1,1,441,1,2,0,0,0,1,0,0,0,100
116,16,1,1,310,1,1.25,0,1,0,0,0,100,0,0
116,14,1,1,266,1,1.25,0,1,0,0,0,100,0,0
116,13,3,3,292,1,1.25,0,3,0,0,0,100,0,0
116,12,2,2,249,1,1.25,0,2,0,0,0,100,0,0
116,11,1,1,269,1,0.9,1,0,0,0,100,0,0,0
116,7,0,1,178,0,0,0,0,0,0,0,0,0,0
116,6,4,4,164,1,0.988,3,1,0,0,75,25,0,0
116,4,1,1,133,1,0.9,1,0,0,0,100,0,0,0
116,2,0,1,86,0,0,0,0,0,0,0,0,0,0
115,28,1,1,442,1,2,0,0,0,1,0,0,0,100
115,25,1,1,441,1,2,0,0,0,1,0,0,0,100
115,24,1,1,446,1,2,0,0,0,1,0,0,0,100
115,18,1,1,439,1,2,0,0,0,1,0,0,0,100
115,17,0,1,326,0,0,0,0,0,0,0,0,0,0
115,16,1,1,414,1,2,0,0,0,1,0,0,0,100
115,15,0,1,298,0,0,0,0,0,0,0,0,0,0
115,13,0,1,320,0,0,0,0,0,0,0,0,0,0
115,12,2,2,253,1,1.075,1,1,0,0,50,50,0,0
115,11,0,1,312,0,0,0,0,0,0,0,0,0,0
115,9,1,1,207,1,0.9,1,0,0,0,100,0,0,0
115,7,1,2,146,0.5,0.45,1,0,0,0,50,0,0,0
115,6,0,1,157,0,0,0,0,0,0,0,0,0,0
115,5,1,1,159,1,0.9,1,0,0,0,100,0,0,0
115,-3,0,1,32,0,0,0,0,0,0,0,0,0,0
115,-9,1,1,14,1,0.9,1,0,0,0,100,0,0,0
114,36,1,1,450,1,2,0,0,0,1,0,0,0,100
114,28,1,1,433,1,2,0,0,0,1,0,0,0,100
114,26,2,2,428,1,2,0,0,0,2,0,0,0,100
114,25,2,2,454,1,2,0,0,0,2,0,0,0,100
114,24,1,1,461,1,2,0,0,0,1,0,0,0,100
114,22,2,2,452,1,2,0,0,0,2,0,0,0,100
114,21,1,1,461,1,2,0,0,0,1,0,0,0,100
114,20,2,2,407,1,2,0,0,0,2,0,0,0,100
114,19,3,3,392,1,1.75,0,1,0,2,0,33.3,0,66.7
114,18,2,2,417,1,2,0,0,0,2,0,0,0,100
114,16,2,3,355,0.667,0.833,0,2,0,0,0,66.7,0,0
114,15,2,2,347,1,1.425,0,1,1,0,0,50,50,0
114,14,1,2,283,0.5,0.625,0,1,0,0,0,50,0,0
114,13,2,3,317,0.667,0.717,1,1,0,0,33.3,33.3,0,0
114,12,2,2,281,1,0.9,2,0,0,0,100,0,0,0
114,11,2,2,207,1,0.9,2,0,0,0,100,0,0,0
114,10,2,3,235,0.667,0.717,1,1,0,0,33.3,33.3,0,0
114,9,1,1,173,1,0.9,1,0,0,0,100,0,0,0
114,6,3,4,140,0.75,0.763,2,1,0,0,50,25,0,0
114,5,0,1,170,0,0,0,0,0,0,0,0,0,0
114,4,1,1,124,1,0.9,1,0,0,0,100,0,0,0
114,3,0,1,98,0,0,0,0,0,0,0,0,0,0
114,2,1,1,73,1,0.9,1,0,0,0,100,0,0,0
114,1,2,2,67,1,0.9,2,0,0,0,100,0,0,0
114,-6,0,1,22,0,0,0,0,0,0,0,0,0,0
113,47,1,1,353,1,2,0,0,0,1,0,0,0,100
113,33,1,1,431,1,2,0,0,0,1,0,0,0,100
113,32,1,2,415,0.5,1,0,0,0,1,0,0,0,50
113,31,1,1,447,1,2,0,0,0,1,0,0,0,100
113,30,1,1,467,1,2,0,0,0,1,0,0,0,100
113,29,1,1,446,1,2,0,0,0,1,0,0,0,100
113,28,2,2,427,1,2,0,0,0,2,0,0,0,100
113,27,1,1,414,1,2,0,0,0,1,0,0,0,100
113,26,2,2,457,1,2,0,0,0,2,0,0,0,100
113,25,3,3,408,1,2,0,0,0,3,0,0,0,100
113,24,2,2,430,1,2,0,0,0,2,0,0,0,100
113,23,1,1,445,1,2,0,0,0,1,0,0,0,100
113,22,2,2,433,1,1.625,0,1,0,1,0,50,0,50
113,21,1,1,360,1,2,0,0,0,1,0,0,0,100
113,19,1,1,336,1,1.25,0,1,0,0,0,100,0,0
113,18,0,1,341,0,0,0,0,0,0,0,0,0,0
113,17,3,5,369,0.6,0.75,0,3,0,0,0,60,0,0
113,16,3,3,309,1,1.017,2,1,0,0,66.7,33.3,0,0
113,15,0,1,310,0,0,0,0,0,0,0,0,0,0
113,14,2,3,345,0.667,0.833,0,2,0,0,0,66.7,0,0
113,12,1,2,270,0.5,0.625,0,1,0,0,0,50,0,0
113,11,4,5,246,0.8,0.86,2,2,0,0,40,40,0,0
113,10,2,2,239,1,1.075,1,1,0,0,50,50,0,0
113,9,3,3,219,1,1.133,2,0,1,0,66.7,0,33.3,0
113,8,3,3,168,1,0.9,3,0,0,0,100,0,0,0
113,7,1,2,140,0.5,0.45,1,0,0,0,50,0,0,0
113,6,1,1,144,1,1.25,0,1,0,0,0,100,0,0
113,5,0,1,121,0,0,0,0,0,0,0,0,0,0
113,4,2,2,108,1,1.075,1,1,0,0,50,50,0,0
113,3,1,1,78,1,0.9,1,0,0,0,100,0,0,0
113,2,2,2,75,1,0.9,2,0,0,0,100,0,0,0
113,1,0,2,84,0,0,0,0,0,0,0,0,0,0
113,-2,1,3,33,0.333,0.3,1,0,0,0,33.3,0,0,0
113,-5,0,1,22,0,0,0,0,0,0,0,0,0,0
113,-7,0,1,18,0,0,0,0,0,0,0,0,0,0
113,-8,0,1,11,0,0,0,0,0,0,0,0,0,0
113,-9,0,1,11,0,0,0,0,0,0,0,0,0,0
113,-10,1,1,10,1,0.9,1,0,0,0,100,0,0,0
113,-12,0,1,11,0,0,0,0,0,0,0,0,0,0
113,-13,0,1,10,0,0,0,0,0,0,0,0,0,0
113,-14,0,1,8,0,0,0,0,0,0,0,0,0,0
113,-15,0,1,10,0,0,0,0,0,0,0,0,0,0
112,34,1,1,445,1,2,0,0,0,1,0,0,0,100
112,32,2,2,442,1,2,0,0,0,2,0,0,0,100
112,31,1,1,421,1,2,0,0,0,1,0,0,0,100
112,30,2,2,425,1,2,0,0,0,2,0,0,0,100
112,29,3,3,443,1,2,0,0,0,3,0,0,0,100
112,28,1,1,450,1,2,0,0,0,1,0,0,0,100
112,27,2,2,432,1,2,0,0,0,2,0,0,0,100
112,26,2,2,428,1,2,0,0,0,2,0,0,0,100
112,25,4,4,414,1,2,0,0,0,4,0,0,0,100
112,24,2,2,425,1,2,0,0,0,2,0,0,0,100
112,23,1,1,449,1,2,0,0,0,1,0,0,0,100
112,22,1,1,410,1,2,0,0,0,1,0,0,0,100
112,19,3,3,384,1,1.75,0,1,0,2,0,33.3,0,66.7
112,18,4,4,365,1,1.438,0,3,0,1,0,75,0,25
112,17,2,3,346,0.667,0.967,1,0,0,1,33.3,0,0,33.3
112,16,3,4,335,0.75,0.85,1,2,0,0,25,50,0,0
112,15,2,2,282,1,1.075,1,1,0,0,50,50,0,0
112,14,1,1,257,1,1.25,0,1,0,0,0,100,0,0
112,13,1,1,216,1,0.9,1,0,0,0,100,0,0,0
112,12,3,4,266,0.75,0.675,3,0,0,0,75,0,0,0
112,11,7,7,242,1,0.9,7,0,0,0,100,0,0,0
112,10,3,3,197,1,1.017,2,1,0,0,66.7,33.3,0,0
112,9,1,1,220,1,0.9,1,0,0,0,100,0,0,0
112,8,8,9,185,0.889,0.917,5,3,0,0,55.6,33.3,0,0
112,7,1,3,145,0.333,0.533,0,0,1,0,0,0,33.3,0
112,5,1,2,115,0.5,0.625,0,1,0,0,0,50,0,0
112,4,2,2,94,1,0.9,2,0,0,0,100,0,0,0
112,3,2,2,93,1,0.9,2,0,0,0,100,0,0,0
112,2,2,2,66,1,0.9,2,0,0,0,100,0,0,0
112,1,4,5,63,0.8,0.72,4,0,0,0,80,0,0,0
112,-2,1,2,37,0.5,0.45,1,0,0,0,50,0,0,0
112,-3,0,1,28,0,0,0,0,0,0,0,0,0,0
112,-4,1,3,23,0.333,0.3,1,0,0,0,33.3,0,0,0
112,-5,0,2,15,0,0.45,0,0,0,0,0,0,0,0
112,-6,0,1,13,0,0,0,0,0,0,0,0,0,0
112,-7,1,2,18,0.5,0.45,1,0,0,0,50,0,0,0
112,-8,1,1,12,1,0.9,1,0,0,0,100,0,0,0
112,-9,1,1,14,1,0.9,1,0,0,0,100,0,0,0
112,-13,0,1,8,0,0,0,0,0,0,0,0,0,0
112,-14,0,1,9,0,0,0,0,0,0,0,0,0,0
111,39,1,1,392,1,2,0,0,0,1,0,0,0,100
111,36,1,1,404,1,2,0,0,0,1,0,0,0,100
111,34,1,2,419,0.5,1,0,0,0,1,0,0,0,50
111,33,1,1,430,1,2,0,0,0,1,0,0,0,100
111,31,1,1,442,1,2,0,0,0,1,0,0,0,100
111,30,2,2,413,1,2,0,0,0,2,0,0,0,100
111,29,2,2,411,1,2,0,0,0,2,0,0,0,100
111,27,2,2,433,1,2,0,0,0,2,0,0,0,100
111,26,5,5,438,1,2,0,0,0,5,0,0,0,100
111,25,2,2,432,1,2,0,0,0,2,0,0,0,100
111,24,4,4,427,1,2,0,0,0,4,0,0,0,100
111,23,5,5,406,1,1.7,0,2,0,3,0,40,0,60
111,22,7,7,412,1,1.786,0,2,0,5,0,28.6,0,71.4
111,21,3,3,388,1,1.75,0,1,0,2,0,33.3,0,66.7
111,20,4,5,391,0.8,1.15,0,3,0,1,0,60,0,20
111,19,4,4,384,1,1.813,0,1,0,3,0,25,0,75
111,18,2,3,358,0.667,0.717,1,1,0,0,33.3,33.3,0,0
111,17,5,7,355,0.714,0.95,1,3,0,1,14.3,42.9,0,14.3
111,16,5,10,327,0.5,0.52,3,2,0,0,30,20,0,0
111,15,3,4,332,0.75,0.938,0,3,0,0,0,75,0,0
111,14,5,8,300,0.625,0.788,2,2,0,1,25,25,0,12.5
111,13,5,6,313,0.833,1.042,0,5,0,0,0,83.3,0,0
111,12,6,8,287,0.75,0.85,2,4,0,0,25,50,0,0
111,11,6,6,240,1,1.017,4,2,0,0,66.7,33.3,0,0
111,10,6,7,220,0.857,0.821,5,1,0,0,71.4,14.3,0,0
111,9,6,7,197,0.857,0.871,5,0,1,0,71.4,0,14.3,0
111,8,7,7,167,1,0.9,7,0,0,0,100,0,0,0
111,7,3,6,144,0.5,0.45,3,0,0,0,50,0,0,0
111,6,3,5,140,0.6,0.61,2,1,0,0,40,20,0,0
111,5,7,8,128,0.875,0.831,6,1,0,0,75,12.5,0,0
111,4,2,4,106,0.5,0.45,2,0,0,0,50,0,0,0
111,3,4,8,83,0.5,0.494,3,1,0,0,37.5,12.5,0,0
111,2,0,1,62,0,0,0,0,0,0,0,0,0,0
111,1,3,5,59,0.6,0.61,2,1,0,0,40,20,0,0
111,0,0,2,53,0,0,0,0,0,0,0,0,0,0
111,-1,1,3,44,0.333,0.3,1,0,0,0,33.3,0,0,0
111,-2,1,4,32,0.25,0.225,1,0,0,0,25,0,0,0
111,-3,1,2,35,0.5,0.45,1,0,0,0,50,0,0,0
111,-4,0,2,19,0,0,0,0,0,0,0,0,0,0
111,-5,1,2,18,0.5,0.45,1,0,0,0,50,0,0,0
111,-6,0,1,17,0,0,0,0,0,0,0,0,0,0
111,-7,0,2,14,0,0,0,0,0,0,0,0,0,0
111,-9,0,1,12,0,0,0,0,0,0,0,0,0,0
111,-11,0,2,11,0,0,0,0,0,0,0,0,0,0
111,-12,0,1,11,0,0,0,0,0,0,0,0,0,0
111,-15,1,1,8,1,0.9,1,0,0,0,100,0,0,0
110,46,0,1,339,0,0,0,0,0,0,0,0,0,0
110,43,0,1,344,0,0,0,0,0,0,0,0,0,0
110,36,2,3,405,0.667,1.333,0,0,0,2,0,0,0,66.7
110,35,1,1,445,1,2,0,0,0,1,0,0,0,100
110,34,2,2,422,1,2,0,0,0,2,0,0,0,100
110,33,3,3,426,1,2,0,0,0,3,0,0,0,100
110,31,2,3,428,0.667,1.333,0,0,0,2,0,0,0,66.7
110,30,4,4,426,1,2,0,0,0,4,0,0,0,100
110,29,3,3,433,1,2,0,0,0,3,0,0,0,100
110,28,4,4,424,1,2,0,0,0,4,0,0,0,100
110,27,5,5,439,1,2,0,0,0,5,0,0,0,100
110,26,4,4,421,1,1.813,0,1,0,3,0,25,0,75
110,25,3,3,409,1,2,0,0,0,3,0,0,0,100
110,24,6,6,419,1,2,0,0,0,6,0,0,0,100
110,23,1,1,424,1,2,0,0,0,1,0,0,0,100
110,22,5,5,379,1,1.7,0,2,0,3,0,40,0,60
110,21,9,9,380,1,1.75,0,3,0,6,0,33.3,0,66.7
110,20,2,4,350,0.5,0.625,0,2,0,0,0,50,0,0
110,19,11,14,354,0.786,1.039,2,7,0,2,14.3,50,0,14.3
110,18,6,9,360,0.667,0.917,0,5,0,1,0,55.6,0,11.1
110,17,4,5,321,0.8,0.93,1,3,0,0,20,60,0,0
110,16,4,5,348,0.8,1.25,0,3,1,0,0,60,20,0
110,15,2,3,297,0.667,0.717,1,1,0,0,33.3,33.3,0,0
110,14,8,9,296,0.889,0.956,4,4,0,0,44.4,44.4,0,0
110,13,3,5,276,0.6,0.68,1,2,0,0,20,40,0,0
110,12,5,5,249,1,0.97,4,1,0,0,80,20,0,0
110,11,7,7,238,1,0.95,6,1,0,0,85.7,14.3,0,0
110,10,9,11,202,0.818,0.8,7,2,0,0,63.6,18.2,0,0
110,9,10,11,199,0.909,0.945,6,4,0,0,54.5,36.4,0,0
110,8,6,9,174,0.667,0.678,4,2,0,0,44.4,22.2,0,0
110,7,7,9,146,0.778,0.739,6,1,0,0,66.7,11.1,0,0
110,6,8,10,132,0.8,0.755,7,1,0,0,70,10,0,0
110,5,8,11,121,0.727,0.655,8,0,0,0,72.7,0,0,0
110,4,7,7,106,1,0.9,7,0,0,0,100,0,0,0
110,3,7,11,88,0.636,0.573,7,0,0,0,63.6,0,0,0
110,2,2,2,87,1,0.9,2,0,0,0,100,0,0,0
110,1,8,14,60,0.571,0.579,8,0,0,0,57.1,0,0,0
110,0,2,6,53,0.333,0.358,1,1,0,0,16.7,16.7,0,0
110,-1,3,5,40,0.6,0.54,3,0,0,0,60,0,0,0
110,-2,2,3,30,0.667,0.6,2,0,0,0,66.7,0,0,0
110,-3,3,6,24,0.5,0.45,3,0,0,0,50,0,0,0
110,-4,2,5,25,0.4,0.36,2,0,0,0,40,0,0,0
110,-5,1,4,21,0.25,0.225,1,0,0,0,25,0,0,0
110,-6,3,4,21,0.75,0.675,3,0,0,0,75,0,0,0
110,-7,0,2,15,0,0,0,0,0,0,0,0,0,0
110,-11,1,5,12,0.2,0.18,1,0,0,0,20,0,0,0
110,-13,1,2,10,0.5,0.45,1,0,0,0,50,0,0,0
110,-14,0,1,8,0,0,0,0,0,0,0,0,0,0
110,-15,0,1,6,0,0,0,0,0,0,0,0,0,0
110,-16,0,2,7,0,0,0,0,0,0,0,0,0,0
110,-17,0,1,5,0,0,0,0,0,0,0,0,0,0
110,-18,0,2,7,0,0,0,0,0,0,0,0,0,0
110,-22,0,1,6,0,0,0,0,0,0,0,0,0,0
110,-25,0,3,4,0,0,0,0,0,0,0,0,0,0
109,43,1,1,378,1,2,0,0,0,1,0,0,0,100
109,42,0,1,369,0,0,0,0,0,0,0,0,0,0
109,36,0,1,383,0,0,0,0,0,0,0,0,0,0
109,35,1,1,402,1,2,0,0,0,1,0,0,0,100
109,34,5,5,415,1,2,0,0,0,5,0,0,0,100
109,33,1,1,421,1,2,0,0,0,1,0,0,0,100
109,32,2,2,410,1,2,0,0,0,2,0,0,0,100
109,31,3,3,398,1,1.75,0,1,0,2,0,33.3,0,66.7
109,30,4,4,432,1,2,0,0,0,4,0,0,0,100
109,29,3,3,421,1,2,0,0,0,3,0,0,0,100
109,28,3,3,434,1,2,0,0,0,3,0,0,0,100
109,27,6,6,425,1,2,0,0,0,6,0,0,0,100
109,26,3,3,412,1,2,0,0,0,3,0,0,0,100
109,25,10,10,429,1,1.925,0,1,0,9,0,10,0,90
109,24,11,12,407,0.917,1.833,0,0,0,11,0,0,0,91.7
109,23,11,11,412,1,1.932,0,1,0,10,0,9.1,0,90.9
109,22,16,16,388,1,1.625,1,6,1,8,6.3,37.5,6.3,50
109,21,7,9,381,0.778,1.35,1,1,0,5,11.1,11.1,0,55.6
109,20,6,8,383,0.75,1.5,0,0,0,6,0,0,0,75
109,19,8,8,356,1,1.531,0,5,0,3,0,62.5,0,37.5
109,18,8,11,335,0.727,1.014,1,5,0,2,9.1,45.5,0,18.2
109,17,8,10,334,0.8,1,0,8,0,0,0,80,0,0
109,16,7,16,319,0.438,0.525,1,6,0,0,6.3,37.5,0,0
109,15,6,9,302,0.667,0.833,1,4,1,0,11.1,44.4,11.1,0
109,14,11,11,295,1,1.091,5,6,0,0,45.5,54.5,0,0
109,13,9,13,281,0.692,0.731,5,4,0,0,38.5,30.8,0,0
109,12,7,10,251,0.7,0.77,3,4,0,0,30,40,0,0
109,11,11,11,250,1,0.995,8,3,0,0,72.7,27.3,0,0
109,10,14,14,213,1,1,10,4,0,0,71.4,28.6,0,0
109,9,6,8,199,0.75,0.806,3,3,0,0,37.5,37.5,0,0
109,8,7,12,166,0.583,0.554,6,1,0,0,50,8.3,0,0
109,7,6,10,147,0.6,0.54,6,0,0,0,60,0,0,0
109,6,10,14,132,0.714,0.668,9,1,0,0,64.3,7.1,0,0
109,5,4,8,127,0.5,0.563,4,0,0,0,50,0,0,0
109,4,8,13,101,0.615,0.581,7,1,0,0,53.8,7.7,0,0
109,3,4,7,91,0.571,0.643,4,0,0,0,57.1,0,0,0
109,2,4,10,69,0.4,0.36,4,0,0,0,40,0,0,0
109,1,1,2,74,0.5,0.45,1,0,0,0,50,0,0,0
109,0,4,7,51,0.571,0.514,4,0,0,0,57.1,0,0,0
109,-1,3,4,48,0.75,0.675,3,0,0,0,75,0,0,0
109,-2,1,5,36,0.2,0.36,1,0,0,0,20,0,0,0
109,-3,1,5,30,0.2,0.18,1,0,0,0,20,0,0,0
109,-4,2,7,25,0.286,0.257,2,0,0,0,28.6,0,0,0
